,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
494,28,2,1,249.797,0,4,1,0,23,2,0
716,19,5,3,275.089,0,1,1,0,31,2,0
10,1,2,1,239.554,0,4,1,0,23,2,1
684,27,6,3,237.656,0,0,0,0,19,2,0
734,13,2,1,264.604,0,3,1,0,25,2,1
471,9,3,1,230.29,0,1,0,2,24,2,1
260,23,4,1,265.615,0,2,0,1,32,2,0
711,19,5,3,275.089,0,1,1,0,31,2,1
25,25,2,1,205.917,0,1,1,4,27,2,1
679,13,5,3,237.656,0,0,0,0,19,2,0
18,11,5,1,239.554,0,2,0,2,25,2,1
233,11,6,3,377.55,0,0,1,0,31,2,0
709,10,4,3,275.089,0,0,0,0,28,2,1
219,22,6,3,378.884,0,1,1,4,27,2,1
243,1,2,1,275.312,0,0,0,0,25,2,1
694,22,4,3,237.656,0,1,1,1,25,2,1
724,22,4,1,275.089,0,1,1,8,21,2,0
431,28,6,3,246.074,0,4,1,0,23,2,0
469,23,2,1,230.29,0,1,0,5,33,2,0
16,23,6,1,239.554,0,0,1,0,31,2,0
474,22,6,1,230.29,0,1,1,4,27,2,1
230,23,3,3,377.55,0,1,1,0,31,2,0
483,28,3,1,249.797,0,0,0,0,28,2,1
38,28,6,1,205.917,0,1,0,5,33,2,1
457,28,6,1,253.957,0,0,1,0,23,2,0
224,10,6,3,377.55,0,0,1,0,23,2,1
705,11,2,3,237.656,0,1,0,2,24,2,0
484,26,3,1,249.797,0,2,1,1,30,2,1
704,10,6,3,237.656,0,2,1,0,25,2,1
690,0,4,3,237.656,1,2,0,4,21,2,0
721,22,5,1,275.089,0,1,1,8,21,2,1
478,28,5,1,230.29,0,1,1,1,25,2,0
434,18,4,3,246.074,0,2,0,1,22,2,1
467,28,3,1,230.29,0,0,0,0,28,2,1
237,1,4,1,275.312,0,1,1,0,31,2,1
456,21,4,1,253.957,0,0,0,0,19,2,0
259,23,3,1,265.615,0,2,1,1,30,2,1
445,28,6,3,253.957,0,4,1,0,23,2,1
439,1,2,3,246.074,0,1,0,1,29,2,1
231,13,4,3,377.55,0,1,1,0,31,2,1
265,23,3,1,265.615,0,1,0,1,29,2,0
232,22,5,3,377.55,0,2,0,4,21,2,1
427,10,2,3,246.074,0,3,1,0,25,2,1
248,26,5,1,275.312,0,0,1,0,31,2,1
436,13,6,3,246.074,0,0,0,0,25,2,1
691,16,6,3,237.656,0,2,0,0,22,2,0
674,22,2,3,237.656,0,1,0,1,29,2,1
430,23,5,3,246.074,0,1,1,4,27,2,0
29,23,6,1,205.917,0,0,1,0,31,2,0
443,28,3,3,253.957,0,0,0,0,28,2,0
239,26,6,1,275.312,0,0,0,0,28,2,1
246,22,3,1,275.312,0,1,1,4,27,2,1
5,23,6,1,239.554,0,0,1,0,31,2,0
220,19,2,3,377.55,0,0,1,0,23,2,1
487,25,2,1,249.797,0,0,1,0,31,2,1
463,7,2,1,230.29,0,0,0,0,25,2,1
261,11,5,1,265.615,0,0,0,0,25,2,1
229,13,6,3,377.55,0,1,0,1,29,2,1
688,0,3,3,237.656,1,1,1,0,31,2,0
723,10,4,1,275.089,0,0,0,0,28,2,0
460,23,5,1,230.29,0,0,0,0,19,2,0
31,18,5,1,205.917,0,1,0,5,33,2,1
12,11,4,1,239.554,0,4,1,0,23,2,1
35,23,2,1,205.917,0,1,1,4,27,2,0
28,18,4,1,205.917,0,2,1,1,30,2,1
206,28,2,3,378.884,0,2,1,0,25,2,0
720,25,2,1,275.089,0,0,0,0,28,2,0
466,26,2,1,230.29,0,4,1,0,23,2,1
706,7,4,3,275.089,0,2,1,0,25,2,1
215,0,4,3,378.884,1,2,0,4,21,2,0
455,5,4,1,253.957,0,0,1,0,31,2,1
693,10,2,3,237.656,0,0,0,0,25,2,1
240,26,3,1,275.312,0,0,0,0,25,2,1
205,28,5,3,378.884,0,2,1,0,25,2,0
480,25,5,1,249.797,0,0,1,0,31,2,1
477,28,3,1,230.29,0,0,1,0,23,2,0
242,25,6,1,275.312,0,2,1,0,25,2,0
459,13,3,1,253.957,0,1,0,1,29,2,1
26,23,3,1,205.917,0,2,1,1,30,2,0
728,28,2,1,264.604,0,0,0,0,28,2,1
475,22,2,1,230.29,0,2,1,1,30,2,1
676,28,4,3,237.656,0,0,0,0,25,2,0
451,26,3,3,253.957,0,1,1,0,38,2,1
0,26,3,1,239.554,0,2,1,1,30,2,1
2,23,4,1,239.554,0,0,1,0,31,2,0
241,18,5,1,275.312,0,0,0,0,19,2,1
210,28,2,3,378.884,0,2,1,0,25,2,0
264,25,2,1,265.615,0,2,0,1,32,2,0
438,28,2,3,246.074,0,0,0,0,28,2,0
462,13,6,1,230.29,0,4,1,0,23,2,1
489,23,5,1,249.797,0,0,0,0,25,2,1
254,23,2,1,265.615,0,2,1,1,30,2,0
249,19,2,1,275.312,0,2,1,1,30,2,1
683,22,6,3,237.656,0,2,1,2,28,2,1
725,26,4,1,264.604,0,1,1,0,38,2,1
262,23,5,1,265.615,0,0,0,0,19,2,0
36,24,3,1,205.917,0,2,1,1,30,2,1
458,11,3,1,253.957,0,0,0,0,25,2,0
225,11,2,3,377.55,0,0,1,0,31,2,1
22,13,2,1,205.917,0,1,1,4,27,2,1
437,25,2,3,246.074,0,0,0,0,19,2,0
473,23,6,1,230.29,0,1,1,0,31,2,0
730,22,3,1,264.604,0,2,0,2,25,2,1
33,18,2,1,205.917,0,1,0,5,33,2,1
11,1,3,1,239.554,0,4,1,0,23,2,1
731,23,4,1,264.604,0,0,0,0,28,2,0
27,28,4,1,205.917,0,0,1,0,22,2,1
465,26,6,1,230.29,0,0,0,0,28,2,1
4,23,5,1,239.554,0,2,1,1,30,2,0
441,23,2,3,253.957,0,0,0,0,28,2,0
32,23,5,1,205.917,0,1,0,1,29,2,1
699,28,5,3,237.656,0,1,1,1,25,2,0
226,23,2,3,377.55,0,2,1,0,25,2,1
454,23,4,1,253.957,0,1,1,0,31,2,0
447,13,2,3,253.957,0,1,1,1,25,2,1
713,27,6,3,275.089,0,0,0,0,19,2,0
735,14,3,1,264.604,0,2,1,1,30,2,1
234,28,2,1,377.55,0,0,0,2,36,2,0
680,28,5,3,237.656,0,1,1,1,25,2,0
228,13,4,3,377.55,0,1,1,0,31,2,1
208,19,3,3,378.884,0,1,0,2,24,2,1
472,28,3,1,230.29,0,0,1,0,31,2,0
204,13,4,3,378.884,0,2,1,1,30,2,1
442,28,2,3,253.957,0,0,1,0,31,2,0
23,28,6,1,205.917,0,4,1,0,23,2,1
675,19,4,3,237.656,0,2,1,2,28,2,0
492,28,3,1,249.797,0,0,0,0,28,2,1
245,25,2,1,275.312,0,0,1,0,22,2,0
39,23,6,1,205.917,0,4,1,0,23,2,1
697,10,5,3,237.656,0,0,0,0,25,2,1
211,12,3,3,378.884,0,0,1,0,31,2,0
258,28,6,1,265.615,0,4,1,0,23,2,1
678,26,4,3,237.656,0,1,1,0,38,2,1
207,18,3,3,378.884,0,0,1,0,31,2,1
464,25,6,1,230.29,0,0,0,0,25,2,1
481,25,2,1,249.797,0,2,0,0,22,2,0
3,7,5,1,239.554,0,2,1,0,24,2,1
269,6,4,1,265.615,0,0,0,0,21,2,1
217,11,3,3,378.884,0,0,1,0,31,2,0
452,28,2,1,253.957,0,0,1,0,31,2,0
714,0,2,3,275.089,1,1,0,5,33,2,0
681,14,5,3,237.656,0,2,1,2,28,2,1
719,13,2,1,275.089,0,0,0,0,19,2,0
213,0,4,3,378.884,1,2,1,0,24,2,0
482,28,3,1,249.797,0,0,1,0,23,2,1
244,1,3,1,275.312,0,0,0,0,25,2,1
34,23,2,1,205.917,0,0,1,0,31,2,0
7,23,6,1,239.554,0,4,1,0,23,2,1
490,23,3,1,249.797,0,1,0,1,29,2,1
429,28,4,3,246.074,0,0,1,0,31,2,1
255,18,3,1,265.615,0,2,0,1,22,2,1
247,26,4,1,275.312,0,2,1,1,30,2,1
710,22,5,3,275.089,0,2,0,4,21,2,1
715,0,2,3,275.089,1,0,0,0,25,2,0
253,19,6,1,265.615,0,0,1,0,22,2,0
8,19,2,1,239.554,0,2,1,0,25,2,1
13,11,4,1,239.554,0,0,1,0,31,2,0
223,23,5,3,377.55,0,1,1,1,25,2,1
702,23,4,3,237.656,0,2,1,0,25,2,0
450,28,2,3,253.957,0,0,1,0,31,2,1
17,21,2,1,239.554,0,0,1,0,31,2,1
485,26,3,1,249.797,0,1,1,0,38,2,1
236,19,3,1,275.312,0,2,1,0,25,2,1
707,27,4,3,275.089,0,0,0,0,19,2,0
453,23,4,1,253.957,0,1,0,2,24,2,0
692,10,2,3,237.656,0,2,1,0,25,2,1
717,13,5,3,275.089,0,0,0,0,19,2,0
227,10,2,3,377.55,0,0,1,0,23,2,1
218,13,4,3,378.884,0,1,1,0,31,2,1
426,23,4,3,246.074,0,2,0,1,32,2,0
214,0,4,3,378.884,1,0,0,0,25,2,0
695,10,4,3,237.656,0,2,0,0,22,2,1
493,28,5,1,249.797,0,1,1,1,25,2,0
696,6,4,3,237.656,0,1,0,2,24,2,0
687,28,3,3,237.656,0,0,0,0,28,2,0
733,22,4,1,264.604,0,1,0,2,24,2,1
726,19,6,1,264.604,0,1,1,8,21,2,0
488,25,3,1,249.797,0,2,0,0,22,2,1
222,10,3,3,377.55,0,0,1,0,23,2,1
212,13,4,3,378.884,0,2,1,1,30,2,1
252,19,6,1,265.615,0,2,1,1,30,2,1
21,11,2,1,205.917,0,0,1,0,31,2,0
221,22,2,3,377.55,0,1,1,4,27,2,1
701,7,2,3,237.656,0,1,1,4,27,2,1
479,23,5,1,230.29,0,2,1,0,24,2,0
729,6,3,1,264.604,0,2,0,1,22,2,1
685,23,2,3,237.656,0,1,1,0,31,2,0
689,27,4,3,237.656,0,0,0,0,19,2,0
448,28,2,3,253.957,0,0,1,0,31,2,1
37,11,5,1,205.917,0,0,1,0,23,2,1
476,26,2,1,230.29,0,1,1,0,38,2,1
722,8,6,1,275.089,0,0,0,0,28,2,0
1,0,3,1,239.554,1,1,1,0,31,2,0
216,0,4,3,378.884,1,0,0,0,24,2,0
468,15,2,1,230.29,0,2,1,1,25,2,1
449,28,3,3,253.957,0,0,1,0,23,2,0
470,28,3,1,230.29,0,0,1,0,23,2,0
267,19,5,1,265.615,0,1,0,1,29,2,1
263,13,5,1,265.615,0,1,1,0,31,2,0
435,25,4,3,246.074,0,1,0,2,24,2,0
251,0,5,1,275.312,1,4,1,0,23,2,0
700,27,6,3,237.656,0,0,0,0,19,2,0
238,5,6,1,275.312,0,0,0,0,28,2,1
712,19,6,3,275.089,0,1,1,8,21,2,1
708,26,6,3,275.089,0,0,0,0,28,2,1
440,23,4,3,246.074,0,0,0,0,19,2,0
736,11,3,1,264.604,0,1,0,1,29,2,1
20,10,4,1,205.917,0,0,0,0,25,2,1
686,5,3,3,237.656,0,1,1,0,31,2,0
235,28,5,1,377.55,0,1,0,2,24,2,0
425,13,2,3,246.074,0,1,1,0,38,2,1
14,23,4,1,239.554,0,0,1,0,31,2,1
256,13,5,1,265.615,0,2,1,1,25,2,0
677,8,4,3,237.656,0,0,0,0,28,2,0
266,23,5,1,265.615,0,1,1,0,31,2,0
