,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
538,25,1,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0,75,178,25,0,3
65,22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,0,3
283,5,26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,0,3
518,28,23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,0,3
281,15,28,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,0,3
58,13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,3
344,20,28,12,6,4,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,0,3
106,28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0,3
85,14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,1,3
337,7,0,11,3,4,279,5,14,39,284.031,97,1,1,2,1,1,0,68,168,24,0,3
322,23,1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,0,3
505,13,23,9,3,4,369,17,12,31,261.756,87,0,1,3,1,0,0,70,169,25,0,3
499,15,28,9,5,1,291,31,12,40,261.756,87,0,1,1,1,0,1,73,171,25,0,3
56,28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,0,3
545,34,23,11,2,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
512,34,23,10,3,4,118,10,10,37,284.853,91,0,1,0,0,0,0,83,172,28,0,3
496,24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,0,3
495,24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,0,3
321,15,23,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,0,3
100,36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,0,3
534,18,2,11,4,4,330,16,4,28,268.519,93,0,2,0,0,0,0,84,182,25,1,3
565,22,13,12,3,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,1,3
279,24,9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,1,3
314,22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,0,3
343,36,28,12,3,4,118,13,18,50,236.629,93,0,1,1,1,0,0,98,178,31,0,3
549,11,0,11,4,4,289,36,13,33,268.519,93,1,1,2,1,0,1,90,172,30,0,3
356,3,28,12,2,2,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
567,28,23,12,5,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0,3
516,13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
554,10,28,11,2,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,0,3
305,5,23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,0,3
294,33,0,10,6,4,248,25,14,47,265.017,88,1,1,2,0,0,1,86,165,32,0,3
532,3,21,11,3,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,0,3
270,3,11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0,3
78,10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,0,3
301,11,19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,1,3
507,32,4,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,0,3
506,10,22,9,3,4,361,52,3,28,261.756,87,0,1,1,1,0,4,80,172,27,0,3
308,22,23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,1,3
557,28,23,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0,3
107,20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,0,3
553,13,26,11,6,4,369,17,12,31,268.519,93,0,1,3,1,0,0,70,169,25,0,3
310,10,10,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27,0,3
108,28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0,3
272,11,19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,1,3
69,28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,0,3
311,20,0,10,3,4,260,50,11,36,265.017,88,1,1,4,1,0,0,65,168,23,0,3
323,14,11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,1,3
276,8,0,9,3,1,231,35,14,39,294.217,81,1,1,2,1,0,2,100,170,35,0,3
45,34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,0,3
96,11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,1,3
317,34,11,11,2,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,0,3
339,28,12,12,2,4,225,26,9,28,236.629,93,0,1,1,0,0,2,69,169,24,0,3
350,1,25,12,5,4,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,0,3
105,10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,0,3
333,3,28,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,0,3
533,34,28,11,4,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
336,23,0,11,6,4,378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21,0,3
71,15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,0,3
52,28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,0,3
75,15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,0,3
68,34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,0,3
82,3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,0,3
293,36,0,10,6,4,118,13,18,50,265.017,88,1,1,1,1,0,0,98,178,31,0,3
316,36,23,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,0,3
355,30,28,12,2,2,157,27,6,29,236.629,93,0,1,0,1,1,0,75,185,22,0,3
91,17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,0,3
519,13,26,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
520,3,28,10,4,4,179,51,18,38,284.853,91,0,1,0,1,0,0,89,170,31,0,3
273,5,0,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,3
81,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,0,3
298,3,28,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31,0,3
340,3,28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
275,15,28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,0,3
335,20,15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,0,3
66,3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,0,3
351,3,28,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
509,24,26,10,6,4,246,25,16,41,284.853,91,0,1,0,1,0,0,67,170,23,0,3
531,28,13,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,0,3
40,27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,0,3
42,3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,0,3
274,24,9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,1,3
86,6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,0,3
297,13,22,10,2,4,369,17,12,31,265.017,88,0,1,3,1,0,0,70,169,25,0,3
312,15,0,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25,0,3
338,3,23,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,0,3
502,3,23,9,2,1,179,51,18,38,261.756,87,0,1,0,1,0,0,89,170,31,0,3
287,15,7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,1,3
282,20,28,9,6,1,260,50,11,36,294.217,81,0,1,4,1,0,0,65,168,23,0,3
498,14,23,9,3,1,155,12,14,34,261.756,87,0,1,2,1,0,0,95,196,25,0,3
352,5,13,12,3,2,235,20,13,43,236.629,93,0,1,1,1,0,0,106,167,38,0,3
295,22,1,10,2,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,0,3
76,28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,0,3
334,20,10,11,4,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,0,3
101,1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,0,3
62,3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,0,3
315,22,7,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,0,3
349,34,25,12,3,4,118,10,10,37,236.629,93,0,1,0,0,0,0,83,172,28,0,3
329,3,28,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,0,3
73,28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,0,3
51,29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0,3
564,12,18,12,2,4,233,51,1,31,280.549,98,0,2,1,1,0,8,68,178,21,0,3
517,13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
46,3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,0,3
67,28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,0,3
341,3,28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
44,14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,0,3
319,3,6,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,0,3
72,3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,0,3
501,33,23,9,6,1,248,25,14,47,261.756,87,0,1,2,0,0,1,86,165,32,0,3
102,28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0,3
332,24,13,11,2,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,0,3
325,18,0,11,3,4,330,16,4,28,284.031,97,1,2,0,0,0,0,84,182,25,0,3
546,34,8,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
510,32,14,10,4,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,0,3
110,34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,0,3
568,28,23,12,2,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0,3
104,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,1,3
84,15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,0,3
551,5,0,11,5,4,235,20,13,43,268.519,93,1,1,1,1,0,0,106,167,38,0,3
80,3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,0,3
320,20,28,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,0,3
63,34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,0,3
527,6,23,10,2,4,189,29,13,33,284.853,91,0,1,2,0,0,2,69,167,25,0,3
504,22,23,9,2,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,0,3
278,3,13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0,3
79,20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,0,3
530,28,0,10,2,4,225,26,9,28,284.853,91,1,1,1,0,0,2,69,169,24,0,3
87,15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,1,3
291,11,26,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,0,3
511,15,28,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0,3
83,17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,0,3
342,1,23,12,2,4,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,0,3
539,28,23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,0,3
43,5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,0,3
302,20,28,10,6,4,260,50,11,36,265.017,88,0,1,4,1,0,0,65,168,23,0,3
93,20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,0,3
330,24,13,11,6,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,0,3
547,28,23,11,3,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,0,3
514,15,23,10,6,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0,3
552,28,23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,0,3
89,14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,0,3
497,34,28,9,3,1,118,10,10,37,261.756,87,0,1,0,0,0,0,83,172,28,0,3
277,19,0,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23,0,3
74,20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,1,3
47,15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,0,3
307,15,28,10,3,4,291,31,12,40,265.017,88,0,1,1,1,0,1,73,171,25,0,3
288,3,13,9,2,4,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0,3
280,3,23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0,3
543,28,14,11,5,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,0,3
558,22,13,12,6,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,0,3
286,15,28,9,6,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,0,3
48,20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,0,3
53,34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,0,3
99,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,1,3
535,3,28,11,6,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,0,3
328,1,25,11,5,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,0,3
57,3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,0,3
500,22,23,9,6,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,0,3
112,28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0,3
540,10,22,11,3,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,0,3
331,15,12,11,6,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,0,3
542,34,13,11,5,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
550,33,14,11,5,4,248,25,14,47,268.519,93,0,1,2,0,0,1,86,165,32,0,3
103,20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,0,3
94,33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,0,3
304,5,23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,0,3
90,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,0,3
528,25,6,10,2,4,235,16,8,32,284.853,91,0,3,0,0,0,0,75,178,25,0,3
508,25,11,10,5,4,235,16,8,32,284.853,91,0,3,0,0,0,0,75,178,25,0,3
529,33,10,10,2,4,248,25,14,47,284.853,91,0,1,2,0,0,1,86,165,32,0,3
523,13,10,10,5,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
566,28,23,12,3,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0,3
541,15,28,11,4,4,291,31,12,40,268.519,93,0,1,1,1,0,1,73,171,25,0,3
503,28,23,9,4,1,225,26,9,28,261.756,87,0,1,1,0,0,2,69,169,24,0,3
98,33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,0,3
88,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,0,3
285,5,0,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,3
61,20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,0,3
97,15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,0,3
537,11,24,11,4,4,289,36,13,33,268.519,93,0,1,2,1,0,1,90,172,30,0,3
357,11,19,12,2,2,289,36,13,33,236.629,93,0,1,2,1,0,1,90,172,30,0,3
562,17,18,12,6,4,179,22,17,40,280.549,98,0,2,2,0,1,0,63,170,22,0,3
521,9,1,10,4,4,228,14,16,58,284.853,91,0,1,2,0,0,1,65,172,22,0,3
525,13,10,10,6,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
326,1,18,11,4,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,0,3
77,11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,0,3
354,20,26,12,4,2,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,0,3
555,3,13,12,3,4,179,51,18,38,280.549,98,0,1,0,1,0,0,89,170,31,1,3
41,34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,0,3
92,28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,0,3
346,3,28,12,5,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
327,34,11,11,4,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,0,3
348,22,23,12,3,4,179,26,9,30,236.629,93,0,3,0,0,0,0,56,171,19,0,3
300,5,0,10,4,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0,3
296,34,7,10,2,4,118,10,10,37,265.017,88,0,1,0,0,0,0,83,172,28,0,3
313,30,0,10,3,4,157,27,6,29,265.017,88,1,1,0,1,1,0,75,185,22,0,3
284,36,28,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31,0,3
536,34,9,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
271,3,23,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0,3
548,15,0,11,3,4,291,31,12,40,268.519,93,1,1,1,1,0,1,73,171,25,0,3
544,3,28,11,2,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,0,3
318,33,23,11,2,4,248,25,14,47,284.031,97,0,1,2,0,0,1,86,165,32,0,3
569,14,18,12,3,2,155,12,14,34,280.549,98,0,1,2,1,0,0,95,196,25,1,3
60,3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,0,3
522,15,23,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0,3
111,24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,0,3
303,5,0,10,6,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0,3
54,11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0,3
289,11,24,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,0,3
513,32,23,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,0,3
299,22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,1,3
